prd_id	prd_nam
wctc	维C泡腾片甜橙味
txgjj60	铁锌钙咀嚼片60
yyjn30	鱼油胶囊30
txgjj20	铁锌钙咀嚼片20
blf9	布洛芬9袋
wccmx20	小儿维C草莓味20
wctcx20	小儿维C甜橙味20
cgxyh	999夕阳红唇膏
wtlhgbht	999薄荷糖(无糖罗汉果)
wtjyhbht	999薄荷糖(无糖金银花)
yxs60	益血生60
kz24	999V脸口罩24
ckt(tqx)8*20*60	创可贴(透气型)8*20*60
adkz	999爱戴口罩
xfte12	硝呋太尔12粒
gdjn	钙D软胶囊
wcjjcm	维C咀嚼片草莓味
xkckfy12	小儿咳喘灵口服液12支
htjcyh	黑糖姜茶养护版
wcjjcm60	维C咀嚼片草莓味60
lltj90	氯雷他定糖浆90
pdl	蒲地蓝消炎片
pttsx30	葡萄糖酸锌30支
gkfy30	钙口服液30支
rgsgp	氨糖钙维D片
wssc90	维生素C咀嚼片90
cgskz	999唇膏三口组
thsb6	褪黑素B6片
xsjkl20	夏桑菊颗粒20
ss7*10*8	伤湿7*10*8
twzd	电子体温终端
zt60	正天60袋
wcnm60	维C柠檬味60*0.65g
wccm60	维C草莓味60*0.65g
dhazyjn	DHA藻油胶囊90
wctc110*0.65	维C甜橙味110*0.65g
wccm20*0.65	维C草莓味20*0.65g
xsj14	夏桑菊颗粒14
lzpz20	灵芝孢子粉20
fnxlt1*100*100	呋喃西林贴1*100*100
ckt8*20*60	创可贴8*20*60
aypw50*24	999艾叶喷雾50*24
sf	山防感冒颗粒
kz10	999V脸口罩10
gtpib8*13*5	骨通（PIB）8*13*5
blf10	布洛芬10袋
xafwa18	小儿氨酚烷胺18袋
xafwa12	小儿氨酚烷胺12袋
xafwa6	小儿氨酚烷胺6袋
xkckfy10(tys)	小儿咳喘灵口服液10支(太阳石)
xhtzk	小儿化痰止咳颗粒
mts	蒙脱石颗粒
ffes	复方莪术油栓
xfte6	硝呋太尔6粒
qdms12	庆大霉素12粒
pdmdp8	匹多莫德片8
pdmdp6	匹多莫德片6
jexskfy	健儿消食口服液
yxs84	益血生84
ysaxsjn	盐酸氨溴索胶囊
yyjn	鱼油胶囊
thsp	褪黑素片
lhjn	芦荟胶囊
txgjj90	铁锌钙咀嚼片90
lzpz	灵芝孢子粉
ntypt90	牛乳压片糖90
wejn60	维E胶囊60
wcjj110	维C咀嚼片110
xchkl9	小柴胡颗粒9袋
gmqr18	感冒清热颗粒12*18*60
jnbsw15*12	健脑补肾丸15*12
